Name,Cuisine,Neighborhood,Reviews,Price_Scale,Avg_Rating,Sat_Open_Time,Sat_Close_Time,Num_Photos
Agrodolce Osteria,Italian,North Berkeley,421,2,4.3,1700,2145,298
Almare Gelato Italiano,Ice Cream,Downtown Berkeley,277,1,4.7,1200,2300,215
Angeline’s Louisiana Kitchen,Cajun,Downtown Berkeley,2372,2,4.5,1130,2100,1698
Arinell Pizza,Pizza,Downtown Berkeley,270,1,4.1,1100,2100,57
Artichoke Basille’s Pizza,Pizza,Southside,896,1,4.6,1100,2700,281
Bag O’Crab,Seafood,Downtown Berkeley,214,2,4.2,1100,2130,215
Bangkok Noodles & Thai BBQ,Thai,Downtown Berkeley,287,1,4.3,1600,2400,234
Barney’s Gourmet Hamburgers,Hamburger,North Berkeley,633,2,4.4,1100,2100,303
Berkeley Social Club,Korean,Downtown Berkeley,920,2,4.4,1700,2100,1319
Berkeley Thai House,Thai,Southside,159,2,4.3,1700,2100,223
Beta Lounge,Takeout,Downtown Berkeley,200,2,4.4,1500,2300,225
Blue Bottle Coffee,Coffee Shop,Downtown Berkeley,488,2,4.5,700,1730,434
Bobby G’s Pizzeria,Pizza,Downtown Berkeley,508,2,4.3,1200,2300,209
Bonchon Berkeley,Asian Fusion,Downtown Berkeley,346,2,3.9,1130,2100,336
Cafe Milano,Cafe,Southside,283,1,4.2,800,2000,126
Caffe Strada,Coffee Shop,Southside,919,1,4.3,700,2300,355
Cancun Sabor Mexicano,Mexican,Downtown Berkeley,797,2,4.3,1100,2100,242
Caravaggio Gelato Lab,Gelato,North Berkeley,326,2,4.7,1300,2200,144
Cha Ya,Japanese,North Berkeley,330,2,4.5,1200,2000,326
Cheese Board Collective Pizzeria,Pizza,North Berkeley,2941,1,4.8,400,1730,1891
Chengdu Style Restaurant,Chinese,Southside,482,1,4.2,1100,2100,207
Chipotle Mexican Grill,Mexican,Downtown Berkeley,204,1,3.9,1045,2200,34
Comal,Mexican,Downtown Berkeley,1159,2,4.4,1700,2230,641
Comal Next Door,Mexican,Downtown Berkeley,194,2,4.3,1100,2030,50
Cornerstone Craft Beer & Live Music,Live Music Venue,Downtown Berkeley,1357,2,4.5,1200,2600,1041
CREAM Berkeley,Ice Cream,Southside,711,1,4.4,1200,2400,240
Crepevine Restaurant,American,North Berkeley,828,2,4.4,800,2100,509
Crossroads,Cafeteria,,,,,,,
D’Yar,Mediterranean,Southside,204,1,4.1,1100,2200,54
Da Lian Restaurant,Chinese,North Berkeley,172,2,4.3,1630,2130,98
Daryoush,Persian,Downtown Berkeley,258,2,4.6,1130,2200,162
Dumpling Express,Dumpling,Southside,257,1,4.1,1200,1900,102
East Bay Spice Company,Indian,Downtown Berkeley,507,2,4.4,1400,2600,364
Eureka!,American,Downtown Berkeley,1761,2,4.3,1100,2500,1110
Feng Cha Teahouse,Bubble Tea,Southside,155,1,4.3,1200,2200,219
"Gather Kitchen, Bar and Events",Californian,Downtown Berkeley,945,2,4.4,1600,2100,972
Great China,Chinese,Downtown Berkeley,1186,2,4.4,1700,2100,1178
Gregoire Restaurant,French,North Berkeley,771,2,4.5,1130,1900,386
